strategy,entry_signal_rule,entry_news_rule,exit_news_rule,none_streak,momentum_cutoff,entries,closed,open,deployed,ending,gain,return_pct,train_return_pct,test_return_pct
entry=fresh-or-strict; entry-news=accelerating; exit=10none/-5%/ignore,fresh-or-strict,accelerating,ignore,10,-5,97,53,44,97000,109893.8945395600226566743988,12893.8945395600226566743988,13.29267478305156974914886474,-4.85367413025157882174948100,21.11538264363218604130480052
entry=any-signal; entry-news=ignore; exit=20none/0%/ignore,any-signal,ignore,ignore,20,0,230,138,92,230000,260481.1833051952805659258710,30481.1833051952805659258710,13.25268839356316546344603087,-2.055975890413269937112802595,20.49661694442633944030651895
entry=any-signal; entry-news=accelerating; exit=15none/0%/cooling,any-signal,accelerating,cooling,15,0,175,100,75,175000,198104.5022399006461231728057,23104.5022399006461231728057,13.20257270851465492752731754,-2.013899062987466950412913731,20.43519312673734555625403989
entry=fresh-or-strict; entry-news=active; exit=10none/-5%/cooling,fresh-or-strict,active,cooling,10,-5,106,57,49,106000,119976.0410891802455290880044,13976.0410891802455290880044,13.18494442375494861234717396,-5.719015859657905082270548783,20.79178303292045237423039075
entry=any-signal; entry-news=active; exit=10none/-5%/cooling,any-signal,active,cooling,10,-5,185,102,83,185000,209390.8186570616105686611299,24390.8186570616105686611299,13.18422630111438409116817832,-3.637767011172707660762947214,21.45066744140085289398424860
entry=fresh-only; entry-news=ignore; exit=20none/0%/ignore,fresh-only,ignore,ignore,20,0,102,68,34,102000,115447.3248109507633046948703,13447.3248109507633046948703,13.18365177544192480852438265,-2.455435028426588596178682076,26.26523534785077051677467050
entry=fresh-only; entry-news=active; exit=15none/0%/ignore,fresh-only,active,ignore,15,0,80,54,26,80000,90533.61400688605367181863494,10533.61400688605367181863494,13.16701750860756708977329368,-3.779334373421749580990440731,25.59382492397352686236527033
entry=fresh-only; entry-news=ignore; exit=10none/-5%/cooling,fresh-only,ignore,cooling,10,-5,102,64,38,102000,115418.2448729056120588294612,13418.2448729056120588294612,13.15514203226040397924456980,-4.703573608500071131136975258,29.01645706633467027153355276
entry=strict-only; entry-news=accelerating; exit=20none/-10%/cooling,strict-only,accelerating,cooling,20,-10,59,24,35,59000,66755.60006492018212440788720,7755.60006492018212440788720,13.14508485579691885492862237,-7.511689762488486263170925391,16.56385529081530340254628592
entry=fresh-or-strict; entry-news=ignore; exit=15none/0%/cooling,fresh-or-strict,ignore,cooling,15,0,128,75,53,128000,144820.0504464332857047822331,16820.0504464332857047822331,13.14066441127600445686111961,-4.133988961741636393851359892,22.74591314044691299115142750
entry=strict-only; entry-news=ignore; exit=20none/-5%/cooling,strict-only,ignore,cooling,20,-5,72,29,43,72000,81448.44276048291445007841701,9448.44276048291445007841701,13.12283716733738118066446807,-7.552315423507715635324752379,17.72978953845220665539046576
entry=strict-only; entry-news=accelerating; exit=20none/-10%/ignore,strict-only,accelerating,ignore,20,-10,59,25,34,59000,66740.55264958300156858569268,7740.55264958300156858569268,13.11958076200508740438252997,-6.650921903175642143524951087,16.23988574824006339144456597
entry=fresh-or-strict; entry-news=accelerating; exit=5none/-5%/cooling,fresh-or-strict,accelerating,cooling,5,-5,97,55,42,97000,109722.8298716669150951173945,12722.8298716669150951173945,13.11631945532671659290453041,-4.276631963007857029048323788,20.07640496898775333136572256
entry=fresh-only; entry-news=ignore; exit=20none/-5%/ignore,fresh-only,ignore,ignore,20,-5,102,65,37,102000,115337.4170945904343809616733,13337.4170945904343809616733,13.07589911234356311858987578,-3.679821892506987903694303076,27.75764040602460012342182808
entry=fresh-only; entry-news=active; exit=15none/-5%/ignore,fresh-only,active,ignore,15,-5,80,50,30,80000,90459.85592506707117238798753,10459.85592506707117238798753,13.07481990633383896548498441,-5.515376072978636289888719731,28.16235491902086436934165860
entry=any-signal; entry-news=ignore; exit=15none/-5%/cooling,any-signal,ignore,cooling,15,-5,224,125,99,224000,253183.6739511704275819682025,29183.6739511704275819682025,13.02842587105822659909294754,-2.454397360428506342493495581,20.39083354550349372037684167
entry=fresh-only; entry-news=ignore; exit=10none/0%/cooling,fresh-only,ignore,cooling,10,0,102,67,35,102000,115268.7336902366154781951798,13268.7336902366154781951798,13.00856244140844654725017627,-3.476338379735001054036923106,27.87636063043860171729845003
entry=any-signal; entry-news=ignore; exit=5none/-10%/ignore,any-signal,ignore,ignore,5,-10,219,117,102,219000,247487.1001075748516603396270,28487.1001075748516603396270,13.00780826829901902298613105,-1.976331223439546401249577222,17.57559350083627030377568203
entry=fresh-or-strict; entry-news=ignore; exit=10none/-5%/cooling,fresh-or-strict,ignore,cooling,10,-5,128,72,56,128000,144607.0827893803648913354251,16607.0827893803648913354251,12.97428342920341007135580086,-4.899605540950055540818550459,22.53561788950100117525701027
