ticker,yahoo_symbol,baseline_date,baseline_close,first_spike_date,first_spike_close,first_spike_return_pct,latest_date,latest_close,latest_return_pct,leading_5d_avg_volume,prior_20d_avg_volume,leading_5d_vs_prior_20d,spike_day_volume,spike_day_vs_prior_20d,pre_spike_5d_return_pct,pattern
KXIAY,KXIAY,2026-01-02,6.9260,2026-01-13,8.7500,26.34,2026-06-01,47.8500,590.87,173912,101040,1.72,135950,1.35,7.67,volume expanded before threshold
LITE,LITE,2026-01-02,386.1100,2026-02-05,504.4200,30.64,2026-06-01,905.0000,134.39,7431760,4425289,1.68,8673000,1.96,32.24,volume expanded before threshold
LMT,LMT,2026-01-02,497.0700,2026-01-29,622.5100,25.24,2026-06-01,516.5000,3.91,1452100,2451385,0.59,3931900,1.60,4.82,volume expanded on threshold day
LPTH,LPTH,2026-01-02,11.7200,2026-04-16,14.9200,27.30,2026-06-01,16.5550,41.25,2609540,1812890,1.44,3178500,1.75,22.70,volume expanded on threshold day
LRCX,LRCX,2026-01-02,185.0600,2026-01-27,238.4600,28.86,2026-06-01,317.1200,71.36,11359500,14921564,0.76,12005900,0.80,7.22,no >=1.5x volume expansion
LYSCF,LYSCF,2026-01-02,8.3600,2026-01-14,10.6500,27.39,2026-06-01,13.6500,63.28,45460,80400,0.57,81600,1.01,4.00,no >=1.5x volume expansion
MNTS,MNTS,2026-01-02,5.7400,2026-01-05,8.8200,53.66,2026-06-01,16.7100,191.11,1738800,,,69183100,,,insufficient pre-spike sessions
MOV,MOV,2026-01-02,21.0100,2026-04-09,26.6400,26.80,2026-06-01,37.6300,79.11,144820,172950,0.84,203200,1.17,8.20,no >=1.5x volume expansion
MP,MP,2026-01-02,54.9700,2026-01-14,69.3000,26.07,2026-06-01,69.2900,26.05,10695480,7798167,1.37,12394900,1.59,10.88,volume expanded on threshold day
MRAM,MRAM,2026-01-02,10.0600,2026-01-16,13.2400,31.61,2026-06-01,30.1100,199.30,523340,697020,0.75,889900,1.28,10.15,no >=1.5x volume expansion
MRVL,MRVL,2026-01-02,89.3900,2026-04-08,114.4500,28.03,2026-06-01,219.4300,145.47,32138280,23750000,1.35,29455900,1.24,15.55,no >=1.5x volume expansion
MU,MU,2026-01-02,315.4200,2026-01-22,397.5800,26.05,2026-06-01,1035.5000,228.29,40001400,34130688,1.17,39607600,1.16,19.27,no >=1.5x volume expansion
